,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
359,90,0.067,1665,500,1092.5,1497.5,810,2,88,4,0.6789318,0.689552227,0.012656277,0.012387934,6.66,4.37,499.5,405,-0.019970929,-0.020283514,0.340765529,0.340765529,1,86,0.678251411,1,1,0.471194227,0,1,0.301854651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,91,0.067,1628.5,500,0,0,0,430,470,13,0.687874729,0,0.611969065,0,6.514,0,493.5,0,0.555616132,0,0,0,139,72,0.69640257,14,117,0.669133753,184,8,0.669818229,0,180,0.633829054,67,0,0.550694325,0,67,0.569379076,20,0,0.608407961,0,20,0.609716845,3,0,0.394741779,0,3,0.41855635,3,0,0.455475058,0,3,0.626409187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,91,0.067,1628.5,500,1,3,4,419,477,11,0.687874729,0.589100383,0.611969065,0,6.514,0.004,493.5,2,0.555616132,nan,0.415019187,0.415019187,139,76,0.69640257,7,129,0.679346888,174,3,0.669133753,0,170,0.633829054,86,0,0.626409187,0,86,0.669818229,12,0,0.550391328,0,12,0.551722146,1,0,0.481545251,0,1,0.561088095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,91,0.067,1628.5,500,1062.5,1465.5,806,2,92,6,0.687874729,0.69640257,0.01472095,0.011186635,6.514,4.25,500,403,0.01675171,0.046563794,0.523495941,0.33624723,0,90,0.679346888,1,0,0.431983325,0,1,0.393014372,1,0,0.644184321,0,1,0.16210117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,91,0.067,1628.5,500,1094,1500,812,1,87,4,0.687874729,0.69640257,0.01472095,0.012106852,6.514,4.376,500,406,0.01675171,0.048572606,0.249893786,0.343017728,0,86,0.608624224,1,0,0.255598699,0,1,0.586299926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,92,0.067,1705.5,500,1180,1568,776,16,108,5,0.688932524,0.691186158,0.583387473,0.584456069,6.822,4.72,495,388,0.633057679,0.658560781,0.306852652,0.345682922,10,95,0.681812521,5,7,0.513585921,1,5,0.519354471,0,1,0.35898118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,92,0.067,1705.5,500,1031,1380,698,57,145,8,0.688932524,0.681812521,0.583387473,0.578122156,6.822,4.124,495,349,0.633057679,0.667832195,0.300539256,0.282142447,10,91,0.680925299,14,9,0.612649511,0,14,0.539744103,32,0,0.691186158,0,30,0.672178305,1,0,0.686678891,0,1,0.332596295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,92,0.067,1705.5,500,1107,1507,800,1,99,3,0.688932524,0.691186158,0.011069262,0.013176795,6.822,4.428,499,400,-0.040420149,-0.031906258,0.345982315,0.380892461,1,98,0.681812521,0,1,0.521935858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,92,0.067,1705.5,500,1107.5,1509.5,804,2,94,4,0.688932524,0.691186158,0.011069262,0.010223027,6.822,4.43,499,402,-0.040420149,-0.051946587,0.345982315,0.352879451,1,92,0.646578498,1,1,0.401145188,0,1,0.343150357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,93,0.067,1733,500,1073.5,1429.5,712,53,135,9,0.690785121,0.690762234,0.586626587,0.604808737,6.932,4.294,489,356,0.645505731,0.608097066,0.341911931,0.278359047,22,87,0.690808007,13,17,0.627256287,3,13,0.648738987,2,3,0.658190353,5,2,0.55649616,0,5,0.487921193,8,0,0.580337493,0,8,0.431925886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
