,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node
108,28,0.073,1932.0,500.0,1407,1794.0,774,2,24,3,0.7033114941626207,0.7058140546186925,0.6035456423709111,0.6140603727984028,7.728,5.628,499.5,387,0.6037487907156145,0.5877888543985653,0.45491605921242906,0.4205247275698441,2,23,0.700808933706549,0,1,0.699824676082507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,28,0.073,1932.0,500.0,0,0.0,0,326,474,16,0.7033114941626207,0,0.6035456423709111,0,7.728,0.0,499.5,0,0.6037487907156145,0,0,0,2,151,0.700808933706549,10,0,0.7058140546186925,0,9,0.5774210926357628,19,0,0.6468230220346647,0,19,0.5443220811473446,108,0,0.699824676082507,0,108,0.6593344913048301,130,0,0.6573291444740741,0,130,0.6323206468642908,40,0,0.6461343142788262,0,40,0.6201478071195337,13,0,0.5669960283080643,0,13,0.5065151610683994,4,0,0.5405269946214866,0,4,0.3419909153076457,0,0,0,0,0,0,0,0,0
110,28,0.073,1932.0,500.0,1151,1534.0,766,5,29,4,0.7033114941626207,0.7058140546186925,0.015622998689130935,0.014628733994038853,7.728,4.603999999999999,499,383,0.020674070026109513,0.022162714536435778,0.31682130072526643,0.31682130072526643,3,24,0.5515272374733584,2,3,0.6265806601586258,0,2,0.5047050461744168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,28,0.073,1932.0,500.0,798.5,1117.5,638,5,157,4,0.7033114941626207,0.7058140546186925,0.015622998689130935,0.019799879674487812,7.728,3.194,499,319,0.020674070026109513,0.018744599203474953,0.36180384578250063,0.36180384578250063,3,152,0.6721087998427023,2,3,0.6265806601586258,0,2,0.4730903551979104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,29,0.073,1924.0,500.0,1333.5,1702.5,738,11,51,3,0.6939324584489781,0.6981219950150395,0.6073991096372686,0.6183927630723425,7.696,5.334,497,369,0.5231694896301339,0.5460391228263453,0.43440652650860334,0.44231066775618455,11,40,0.6835278315981118,0,11,0.6897429218829169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,29,0.073,1924.0,500.0,0,0.0,0,325,475,14,0.6939324584489781,0,0.6073991096372686,0,7.696,0.0,497,0,0.5231694896301339,0,0,0,11,157,0.6835278315981118,17,8,0.6981219950150395,0,17,0.617257825451378,129,0,0.6663456017931167,0,125,0.6897429218829169,110,0,0.6756085179851282,0,110,0.6473265584537292,47,0,0.6837923102079728,0,47,0.615226220107011,8,0,0.5332679019500953,0,8,0.46564115560355523,3,0,0.4915421393050014,0,3,0.4713892863024496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,29,0.073,1924.0,500.0,1142.5,1518.5,752,4,44,3,0.6939324584489781,0.6981219950150395,0.01670565786534549,0.015399036542653557,7.696,4.57,499.5,376,-0.000750671047384628,-0.015986187943628084,0.45371347723649214,0.43471568296148,4,40,0.5555750653708219,0,4,0.5545892141483312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,29,0.073,1924.0,500.0,801.5,1115.5,628,7,165,4,0.6939324584489781,0.6981219950150395,0.01670565786534549,0.014819796268840849,7.696,3.2060000000000004,499.5,314,-0.000750671047384628,-0.0032790408830036463,0.42992158160550187,0.42992158160550187,4,160,0.6630836340400718,3,3,0.5851208816694756,0,2,0.4922781700882541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,30,0.073,1956.0,500.0,1438.5,1824.5,772,2,26,3,0.6941918341068603,0.7026318243309868,0.6119577842603885,0.6352583369422744,7.824,5.754,499,386,0.53591370088042,0.5124080806084469,0.501169492626216,0.3854142400143469,2,25,0.45829193998848955,0,1,0.4672335293676312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,30,0.073,1956.0,500.0,0,0.0,0,337,463,10,0.6941918341068603,0,0.6119577842603885,0,7.824,0.0,499,0,0.53591370088042,0,0,0,2,149,0.6754625563027367,119,1,0.6883280797358448,0,97,0.6342447125644047,137,0,0.6723062890792829,0,137,0.6620681949923477,71,0,0.7026318243309868,0,71,0.5041555941506832,8,0,0.45842919935239906,0,8,0.5399357128284024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
