6,0.045,761.5,500,0,0,0,827,73,5,0.6904503,0,0.495484065,0,3.046,0,72,0,0,0,0,764,20,0.691009002,58,52,0.587324182,4,1,0.474916034,1,0,0.408512588,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.045,761.5,500,336,611,550,142,208,13,0.6904503,0.689891599,0.002073995,0.001818182,3.046,1.344,474.5,275,-0.068369591,0.398879902,0.398879902,74,88,0.691009002,22,56,0.617952968,17,20,0.645350641,7,15,0.660127977,5,7,0.529385507,4,5,0.617157605,3,4,0.615548009,5,3,0.5154684,3,5,0.648282967,1,3,0.520770362,1,1,0.515865724,0,1,0.499144473,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.045,761.5,500,314,581,534,157,209,15,0.6904503,0.680241196,0.002073995,0,3.046,1.256,474.5,267,-0.082837417,0.38638978,0.397186749,74,83,0.691009002,23,54,0.673496691,26,16,0.645350641,6,24,0.643409423,9,6,0.652491383,8,7,0.623925202,5,8,0.638686021,2,5,0.689891599,2,2,0.530853107,0,2,0.545459417,1,0,0.288363752,0,1,0.198822476,1,0,0.463035146,0,1,0.481402964,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.045,788,500,0,0,0,820,80,4,0.681105893,0,0.527144957,0,3.152,0,74.5,0,0,0,0,777,6,0.682793909,36,74,0.595958965,7,0,0.380495926,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.045,788,500,0,0,0,817,83,4,0.681105893,0,0.527144957,0,3.152,0,74.5,0,0,0,0,777,10,0.682793909,37,73,0.583820374,3,0,0.359711397,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.045,788,500,359.5,643.5,568,137,195,13,0.681105893,0.682793909,0.005421188,0.005801476,3.152,1.438,470,284,-0.030259332,0.41132706,0.315440761,78,83,0.680530694,13,58,0.652446711,14,10,0.641628341,8,14,0.57988562,11,6,0.634069599,3,11,0.661272332,5,3,0.552949749,1,5,0.503818504,3,1,0.586340012,0,3,0.382807565,1,0,0.251385979,0,1,0.377434185,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.045,788,500,315,571,512,166,222,19,0.681105893,0.680530694,0.005421188,0.002018229,3.152,1.26,470,256,-0.063084427,0.409751215,0.33064239,78,77,0.682793909,21,60,0.656975517,20,20,0.661272332,6,20,0.632457529,9,6,0.659900881,4,9,0.505188899,7,3,0.621488225,1,6,0.616740069,4,1,0.563951464,0,4,0.488935947,2,0,0.641628341,0,2,0.531468981,4,0,0.569918863,0,4,0.531145433,4,0,0.487727215,0,4,0.668231729,6,0,0.509694122,0,6,0.620738431,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.045,773,500,0,0,0,821,79,7,0.683533233,0,0.50727996,0,3.092,0,53,0,0,0,0,806,7,0.691037958,2,68,0.672581265,11,0,0.602769133,0,2,0.685415968,2,0,0.428406361,0,2,0.658800682,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.045,773,500,0,0,0,810,90,5,0.683533233,0,0.50727996,0,3.092,0,53,0,0,0,0,806,13,0.691037958,2,75,0.685415968,2,0,0.471045319,0,2,0.559411022,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.045,773,500,352.5,644.5,584,125,191,14,0.683533233,0.685415968,0.004098384,0.001712329,3.092,1.41,478,292,-0.057711353,0.450070719,0.525907943,64,83,0.676028509,24,53,0.691037958,17,20,0.685384382,7,15,0.663817932,2,7,0.551379238,4,2,0.606412662,1,4,0.454657983,4,1,0.498308939,0,4,0.623715885,1,0,0.441203684,0,1,0.529519446,1,0,0.501209351,0,1,0.262249121,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
