,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp,step44_isol,step44_unsupp,step45_isol,step45_unsupp,step46_isol,step46_unsupp,step47_isol,step47_unsupp,step48_isol,step48_unsupp,step49_isol,step49_unsupp,step50_isol,step50_unsupp,step51_isol,step51_unsupp,step52_isol,step52_unsupp
10936,2735,0.0755,2093.5,500,1463.5,1860.5,794,4,102,4,0.683788931,0.6730374,0.595518758,0.597683634,8.374,5.854,499,397,0.593497106,0.410462066,0.334425747,2,98,2,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10937,2735,0.0755,2093.5,500,1453,1848,790,9,101,4,0.683788931,0.6730374,0.595518758,0.612547179,8.374,5.812,499,395,0.573812097,0.390130224,0.273163935,2,92,7,2,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10938,2735,0.0755,2093.5,500,1335,1734,798,2,100,3,0.683788931,0.700955119,0.017271554,0.01304526,8.374,5.34,499,399,0.029728119,0.316343178,0.346776556,2,98,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10939,2735,0.0755,2093.5,500,1354,1755,802,3,95,4,0.683788931,0.700955119,0.017271554,0.016365182,8.374,5.416,499,401,0.008543268,0.280194065,0.421016261,2,92,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,2736,0.0755,2119,500,1513,1912,798,3,99,4,0.681875244,0.685759191,0.601910053,0.60883061,8.476,6.052,499.5,399,0.572947217,0.321247046,0.278806117,1,96,2,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10941,2736,0.0755,2119,500,1509,1911,804,1,95,3,0.681875244,0.685759191,0.601910053,0.605620376,8.476,6.036,499.5,402,0.590103567,0.308854378,0.278806117,1,94,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10942,2736,0.0755,2119,500,1335.5,1735.5,800,2,98,4,0.681875244,0.685759191,0.016042904,0.013616569,8.476,5.342,500,400,-0.018227216,0.304572426,0.304572426,1,96,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10943,2736,0.0755,2119,500,1349,1750,802,2,96,4,0.681875244,0.685759191,0.016042904,0.01395524,8.476,5.396,500,401,-0.025148889,0.43817005,0.359544827,1,94,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10944,2737,0.0755,2112,500,1469,1868,798,2,100,4,0.68937247,0.693632027,0.607296679,0.617770859,8.448,5.876,500,399,0.533962049,0.367997114,0.295231778,0,98,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10945,2737,0.0755,2112,500,1530.5,1937.5,814,1,85,4,0.68937247,0.693632027,0.607296679,0.616688693,8.448,6.122,500,407,0.576209539,0.381609144,0.285394404,0,84,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
