,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node,step23_isol,step23_unsupp,step23_far_dead_node,step24_isol,step24_unsupp,step24_far_dead_node,step25_isol,step25_unsupp,step25_far_dead_node,step26_isol,step26_unsupp,step26_far_dead_node,step27_isol,step27_unsupp,step27_far_dead_node,step28_isol,step28_unsupp,step28_far_dead_node,step29_isol,step29_unsupp,step29_far_dead_node,step30_isol,step30_unsupp,step30_far_dead_node,step31_isol,step31_unsupp,step31_far_dead_node,step32_isol,step32_unsupp,step32_far_dead_node,step33_isol,step33_unsupp,step33_far_dead_node,step34_isol,step34_unsupp,step34_far_dead_node,step35_isol,step35_unsupp,step35_far_dead_node,step36_isol,step36_unsupp,step36_far_dead_node,step37_isol,step37_unsupp,step37_far_dead_node,step38_isol,step38_unsupp,step38_far_dead_node
175,44,0.0685,1773,500,137.5,255.5,236,71,293,20,0.691031843,0.690761854,0.012140114,0.010734463,7.092,0.55,500,118,-0.087938716,0.46310522,0.46139666,7,227,0.691301833,22,2,0.670864346,0,22,0.576559137,7,0,0.541565625,0,7,0.683233164,9,0,0.573978996,0,9,0.632919858,8,0,0.578897889,0,8,0.662591316,4,0,0.590827409,0,4,0.450774302,8,0,0.58646711,0,8,0.647400488,3,0,0.411736142,0,3,0.605505542,2,0,0.608947354,0,2,0.499321052,1,0,0.389150169,0,1,0.530226287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,45,0.0685,1701.5,500,0,0,0,409,191,4,0.689400414,0,0.608412688,0,6.806,0,497.5,0,0,0,0,315,131,0.69342817,84,54,0.652009584,10,6,0.593901385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,45,0.0685,1701.5,500,0,0,0,417,183,6,0.689400414,0,0.608412688,0,6.806,0,497.5,0,0,0,0,315,108,0.69342817,62,65,0.685372658,34,6,0.627576082,4,4,0.517586847,2,0,0.51563857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,45,0.0685,1701.5,500,141.5,261.5,240,59,301,10,0.689400414,0.679052167,0.014293737,0.010138889,6.806,0.566,500,120,-0.090589109,0.417471418,0.461641669,10,258,0.69342817,37,4,0.655016293,2,27,0.639474345,7,2,0.650310045,0,7,0.658503633,2,0,0.502422135,0,2,0.593901385,1,0,0.367276035,0,1,0.384388084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,45,0.0685,1701.5,500,118,218,200,94,306,12,0.689400414,0.685372658,0.014293737,0.035404762,6.806,0.472,500,100,-0.131593262,0.484190557,0.453402331,10,227,0.686458299,39,5,0.644956346,4,37,0.655016293,17,4,0.677172094,2,12,0.69342817,6,1,0.602206397,2,4,0.581852098,3,2,0.515507461,0,3,0.489090607,11,0,0.600862661,0,11,0.678649529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,46,0.0685,1751.5,500,0,0,0,425,175,4,0.687038469,0,0.592803172,0,7.006,0,493.5,0,0,0,0,318,136,0.687373075,106,37,0.686703863,1,2,0.559781943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,46,0.0685,1751.5,500,0,0,0,453,147,6,0.687038469,0,0.592803172,0,7.006,0,493.5,0,0,0,0,318,108,0.687373075,118,24,0.674318965,13,11,0.638980278,4,0,0.621023647,0,4,0.51265849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,46,0.0685,1751.5,500,1,3,4,179,417,12,0.687038469,0.586534027,0.014823945,0,7.006,0.004,498.5,2,nan,0.537859296,0.537859296,17,291,0.687373075,46,8,0.647380997,5,37,0.66567266,39,0,0.662922809,0,33,0.674318965,31,0,0.660342625,0,29,0.632860359,34,0,0.686703863,0,18,0.64977669,7,0,0.520311379,0,1,0.443585355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,46,0.0685,1751.5,500,0,0,0,196,404,22,0.687038469,0,0.014823945,0,7.006,0,498.5,0,0,0,0,17,222,0.687373075,30,9,0.64977669,6,28,0.638980278,21,6,0.633962994,5,19,0.643470788,8,5,0.674318965,1,6,0.582791702,7,1,0.581040543,0,7,0.66567266,11,0,0.529866402,0,11,0.564334435,21,0,0.662922809,0,21,0.64707677,27,0,0.654542971,0,27,0.626331107,32,0,0.647380997,0,32,0.679321376,7,0,0.611571206,0,7,0.595840853,3,0,0.627548034,0,3,0.625778646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,47,0.0685,1776.5,500,0,0,0,325,275,4,0.68046004,0,0.617558375,0,7.106,0,486.5,0,0,0,0,111,236,0.682694041,205,19,0.678226038,9,20,0.569270726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
