,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
23,6,0.067,1676.5,500,1078.5,1482.5,808,2,90,4,0.693884476,0.705109606,0.013286087,0.015871532,6.706,4.314,499.5,404,-0.008086243,0.285729241,0.285729241,1,88,0.658954044,1,1,0.439851998,0,1,0.292545137,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7,0.067,1628,500,5,10,10,494,396,12,0.687480415,0.510932528,0.605444661,0.466666667,6.512,0.02,491,5,-0.111111111,0.402640699,0.402640699,25,85,0.685945392,73,19,0.688727061,2,64,0.560863674,82,2,0.662176116,18,80,0.666344433,140,16,0.640944034,95,77,0.655635573,31,32,0.689015438,24,13,0.660618428,3,6,0.498806018,1,2,0.438336715,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,0.067,1628,500,1,3,4,524,372,10,0.687480415,0.43682881,0.605444661,0,6.512,0.004,491,2,nan,0.37337041,0.37337041,25,96,0.668413748,16,25,0.656991618,67,16,0.655635573,74,56,0.689015438,171,62,0.688727061,141,69,0.654690737,15,40,0.662176116,15,4,0.48577664,0,4,0.39272256,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7,0.067,1628,500,1072.5,1471.5,798,7,95,4,0.687480415,0.689015438,0.011893375,0.009957642,6.512,4.29,498,399,0.011244905,0.439521303,0.439521303,5,89,0.685945392,2,4,0.520180472,0,2,0.488250332,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,0.067,1628,500,1051.5,1447.5,792,7,101,4,0.687480415,0.689015438,0.011893375,0.010478158,6.512,4.206,498,396,-0.003388851,0.509353533,0.479524866,5,95,0.620063879,2,4,0.603562172,0,2,0.629573841,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8,0.067,1656.5,500,1,3,4,401,495,12,0.675545729,0.573240807,0.596580188,0,6.626,0.004,499,2,nan,0.378207751,0.378207751,2,96,0.670501484,178,2,0.673741769,0,176,0.633807407,133,0,0.656819931,0,133,0.670399673,65,0,0.609844477,0,65,0.678532079,21,0,0.604392917,0,21,0.635019958,2,0,0.588667373,0,2,0.28315622,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8,0.067,1656.5,500,2.5,5.5,6,402,492,10,0.675545729,0.555692016,0.596580188,0.5,6.626,0.01,499,3,nan,0.383348059,0.383348059,2,92,0.631757196,70,1,0.670501484,0,69,0.635629883,237,0,0.672559378,0,237,0.678532079,86,0,0.673741769,0,86,0.639771469,7,0,0.635019958,0,7,0.423900138,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8,0.067,1656.5,500,1050,1448,796,4,100,4,0.675545729,0.678532079,0.01683372,0.017368317,6.626,4.2,499,398,-0.038499612,0.470631187,0.412862329,3,96,0.670501484,1,3,0.490387476,0,1,0.532901714,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,8,0.067,1656.5,500,1072,1473,802,3,95,3,0.675545729,0.678532079,0.01683372,0.015294127,6.626,4.288,499,401,-0.038530271,0.454638015,0.407483318,3,92,0.631757196,0,3,0.409986229,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9,0.067,1658.5,500,1031,1393,724,44,132,4,0.68907271,0.690487474,0.585083647,0.567875449,6.634,4.124,494.5,362,0.561687837,0.351814728,0.287693717,13,91,0.669268173,31,11,0.687657946,0,30,0.598580777,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
