,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp
4201,1051,0.0645,572.5,300,0,0,0,405,135,7,0.671779098,0,0.551112814,0,3.816666667,0,137.5,0,0,0,0,357,18,4,106,42,1,0,8,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,1051,0.0645,572.5,300,324,537,426,35,79,11,0.671779098,0.678651009,0.009674231,0.010080856,3.816666667,2.16,289.5,213,-0.114324517,0.419784155,0.421127856,24,49,3,19,4,3,0,4,1,0,0,1,2,0,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,1051,0.0645,572.5,300,308.5,511.5,406,46,88,9,0.671779098,0.678651009,0.009674231,0.010567675,3.816666667,2.056666667,289.5,203,-0.008996808,0.341511878,0.378723675,24,48,12,19,6,11,1,6,2,1,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4204,1052,0.0645,581.5,300,0,0,0,377,163,9,0.672693083,0,0.553382034,0,3.876666667,0,155.5,0,0,0,0,331,20,2,120,38,0,0,17,4,0,0,4,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4205,1052,0.0645,581.5,300,0,0,0,439,101,5,0.672693083,0,0.553382034,0,3.876666667,0,155.5,0,0,0,0,331,24,83,68,25,5,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,1052,0.0645,581.5,300,322,532,420,32,88,7,0.672693083,0.692848429,0.015026579,0.007619048,3.876666667,2.146666667,295,210,0.02661825,0.529142237,0.341374202,16,56,10,16,4,10,0,4,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,1052,0.0645,581.5,300,333.5,551.5,436,26,78,7,0.672693083,0.692848429,0.015026579,0.013426533,3.876666667,2.223333333,295,218,0.002380471,0.466406239,0.296553548,16,53,5,15,3,5,1,3,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,1053,0.0645,542.5,300,0,0,0,418,122,5,0.690591791,0,0.520690633,0,3.616666667,0,143,0,0,0,0,375,26,26,90,16,2,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4209,1053,0.0645,542.5,300,0,0,0,463,77,7,0.690591791,0,0.520690633,0,3.616666667,0,143,0,0,0,0,375,19,71,51,14,3,1,2,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,1053,0.0645,542.5,300,308.5,519.5,422,30,88,5,0.690591791,0.694914343,0.01377769,0.006556082,3.616666667,2.056666667,294.5,211,0.007378169,0.311802058,0.311802058,15,59,12,14,3,12,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4211,1053,0.0645,542.5,300,291,494,406,40,94,7,0.690591791,0.694914343,0.01377769,0.004844007,3.616666667,1.94,294.5,203,-0.058006544,0.38378774,0.311802058,15,56,16,13,3,16,4,3,2,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4212,1054,0.0645,567,300,0,0,0,463,77,6,0.655145068,0,0.573642424,0,3.78,0,86.5,0,0,0,0,413,12,28,60,19,1,1,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4213,1054,0.0645,567,300,0,0,0,448,92,6,0.655145068,0,0.573642424,0,3.78,0,86.5,0,0,0,0,413,12,20,76,11,0,0,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4214,1054,0.0645,567,300,301.5,506.5,410,43,87,8,0.655145068,0.659404031,0.013431895,0.011219512,3.78,2.01,292.5,205,0.060492819,0.432759397,0.449760447,20,50,14,15,2,13,5,2,1,5,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4215,1054,0.0645,567,300,323,535,424,35,81,6,0.655145068,0.659301734,0.013431895,0.010933288,3.78,2.153333333,292.5,212,-0.047668004,0.348181714,0.373863501,20,53,8,15,5,7,2,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
