,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp
6637,1660,0.0755,729,300,0,0,0,332,208,11,0.692905572,0,0.583012591,0,4.86,0,255,0,0,0,0,100,40,39,69,93,18,46,41,32,16,16,15,2,5,2,1,2,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6638,1660,0.0755,729,300,423,648,450,17,73,6,0.692905572,0.694222131,0.019615937,0.01503351,4.86,2.82,296,225,-0.01137182,0.548612446,0.460798212,9,56,6,9,1,6,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6639,1660,0.0755,729,300,449.5,685.5,472,11,57,4,0.692905572,0.694222131,0.019615937,0.00914548,4.86,2.996666667,296,236,-0.001395242,0.447881305,0.533425707,9,49,2,6,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,1661,0.0755,775,300,1,3,4,374,162,9,0.687577199,0.640862413,0.58215466,0,5.166666667,0.006666667,252,2,nan,0.435880688,0.435880688,254,30,22,91,81,0,0,32,16,0,0,8,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6641,1661,0.0755,775,300,0,0,0,427,113,6,0.687577199,0,0.58215466,0,5.166666667,0,252,0,0,0,0,254,30,126,58,42,21,3,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6642,1661,0.0755,775,300,497,732,470,8,62,5,0.687577199,0.687840234,0.018844186,0.01970618,5.166666667,3.313333333,298.5,235,0.00427016,0.439224882,0.36972201,5,56,2,3,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6643,1661,0.0755,775,300,476.5,703.5,454,14,72,6,0.687577199,0.687840234,0.018844186,0.018694974,5.166666667,3.176666667,298.5,227,-0.008378848,0.353462495,0.353462495,5,58,7,5,1,7,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6644,1662,0.0755,773,300,0,0,0,342,198,9,0.685007403,0,0.581034218,0,5.153333333,0,247,0,0,0,0,256,28,12,144,66,0,0,22,6,0,0,2,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6645,1662,0.0755,773,300,0,0,0,403,137,9,0.685007403,0,0.581034218,0,5.153333333,0,247,0,0,0,0,256,33,104,69,36,18,1,12,4,0,0,3,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6646,1662,0.0755,773,300,492.5,725.5,466,9,65,5,0.685007403,0.681562178,0.020060625,0.016234076,5.153333333,3.283333333,298,233,-0.001090131,0.441152097,0.441152097,5,57,3,4,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6647,1662,0.0755,773,300,486.5,720.5,468,9,63,4,0.685007403,0.688452629,0.020060625,0.020339691,5.153333333,3.243333333,298,234,-0.024881533,0.421366695,0.519323198,5,54,4,5,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6648,1663,0.0755,746.5,300,0,0,0,426,114,7,0.68906727,0,0.598969683,0,4.976666667,0,187.5,0,0,0,0,294,28,95,67,35,5,0,12,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,1663,0.0755,746.5,300,0,0,0,401,139,7,0.68906727,0,0.598969683,0,4.976666667,0,187.5,0,0,0,0,294,33,70,89,27,6,7,6,3,2,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6650,1663,0.0755,746.5,300,478.5,715.5,474,6,60,6,0.68906727,0.678393283,0.015536815,0.018253664,4.976666667,3.19,299,237,0.015626759,0.411830099,0.38402963,2,54,3,2,0,3,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6651,1663,0.0755,746.5,300,487,724,474,9,57,6,0.68906727,0.690298005,0.015536815,0.014187611,4.976666667,3.246666667,299,237,-0.042751213,0.411830099,0.38402963,2,48,4,2,2,4,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6652,1664,0.0755,756,300,0,0,0,381,159,9,0.658420905,0,0.592034768,0,5.04,0,248.5,0,0,0,0,186,44,137,59,26,38,26,5,2,10,2,1,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6653,1664,0.0755,756,300,0,0,0,321,219,7,0.658420905,0,0.592034768,0,5.04,0,248.5,0,0,0,0,186,36,17,131,104,3,3,43,11,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6654,1664,0.0755,756,300,456.5,682.5,452,15,73,7,0.658420905,0.662380772,0.010586903,0.012080029,5.04,3.043333333,296.5,226,0.015499681,0.429397482,0.277406703,11,59,1,10,2,1,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6655,1664,0.0755,756,300,489,720,462,15,63,5,0.658420905,0.668088023,0.010586903,0.01189789,5.04,3.26,296.5,231,0.01584982,0.277406703,0.301945448,11,49,3,10,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6656,1665,0.0755,809.5,300,0,0,0,352,188,8,0.682492097,0,0.59705746,0,5.396666667,0,256,0,0,0,0,217,46,59,109,65,11,2,15,7,0,0,7,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6657,1665,0.0755,809.5,300,0,0,0,401,139,8,0.682492097,0,0.59705746,0,5.396666667,0,256,0,0,0,0,217,34,131,67,41,27,9,6,1,4,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6658,1665,0.0755,809.5,300,490.5,724.5,468,6,66,4,0.682492097,0.699273147,0.017250733,0.013101867,5.396666667,3.27,299,234,-0.020672238,0.253703033,0.258292925,4,60,2,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6659,1665,0.0755,809.5,300,498,732,468,9,63,4,0.682492097,0.699273147,0.017250733,0.013792072,5.396666667,3.32,299,234,-0.028454531,0.258292925,0.258292925,4,54,5,4,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6660,1666,0.0755,757.5,300,0,0,0,371,169,6,0.665310559,0,0.586889533,0,5.05,0,265,0,0,0,0,293,28,11,118,65,0,0,23,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6661,1666,0.0755,757.5,300,1,3,4,384,152,7,0.665310559,0.281120101,0.586889533,0,5.05,0.006666667,265,2,nan,0.262942108,0.262942108,293,30,46,102,29,10,13,8,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6662,1666,0.0755,757.5,300,456.5,684.5,456,14,70,4,0.665310559,0.679203666,0.015504034,0.015980925,5.05,3.043333333,298,228,-0.009421586,0.367172921,0.314222709,7,57,7,6,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6663,1666,0.0755,757.5,300,453,684,462,10,68,5,0.665310559,0.679203666,0.015504034,0.013277331,5.05,3.02,298,231,0.008502696,0.509049379,0.328679606,7,59,1,6,2,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6664,1667,0.0755,781.5,300,0,0,0,377,163,8,0.688411237,0,0.586564069,0,5.21,0,257.5,0,0,0,0,159,40,126,70,75,26,10,20,5,4,1,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6665,1667,0.0755,781.5,300,0,0,0,350,190,8,0.688411237,0,0.586564069,0,5.21,0,257.5,0,0,0,0,159,38,30,99,118,9,31,34,8,6,2,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6666,1667,0.0755,781.5,300,473.5,705.5,464,10,66,4,0.688411237,0.674205098,0.015206777,0.014027699,5.21,3.156666667,298.5,232,-0.015762708,0.554862198,0.394598997,7,57,3,6,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6667,1667,0.0755,781.5,300,486,723,474,9,57,4,0.688411237,0.690966271,0.015206777,0.015588525,5.21,3.24,298.5,237,0.030695724,0.554862198,0.502520824,7,50,2,5,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6668,1668,0.0755,753.5,300,0,0,0,421,119,6,0.687649449,0,0.624298647,0,5.023333333,0,173.5,0,0,0,0,305,23,63,73,46,8,7,12,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6669,1668,0.0755,753.5,300,0,0,0,387,153,8,0.687649449,0,0.624298647,0,5.023333333,0,173.5,0,0,0,0,305,26,12,107,66,3,1,15,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6670,1668,0.0755,753.5,300,470,700,460,13,67,6,0.687649449,0.688373133,0.018980515,0.022610578,5.023333333,3.133333333,298.5,230,-0.063846335,0.378285859,0.378285859,6,54,6,6,0,6,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6671,1668,0.0755,753.5,300,472.5,708.5,472,8,60,4,0.687649449,0.686925766,0.018980515,0.022849102,5.023333333,3.15,298.5,236,-0.022926102,0.486001556,0.555678634,6,53,2,5,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6672,1669,0.0755,768,300,0,0,0,361,179,7,0.689518354,0,0.596966981,0,5.12,0,181.5,0,0,0,0,285,17,5,139,65,1,3,21,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6673,1669,0.0755,768,300,0,0,0,416,124,6,0.689518354,0,0.596966981,0,5.12,0,181.5,0,0,0,0,285,24,80,73,48,8,1,19,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6674,1669,0.0755,768,300,501,740,478,4,58,4,0.689518354,0.694049734,0.019682382,0.015970675,5.12,3.34,299.5,239,-0.003844324,0.609114261,0.377691756,2,54,2,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6675,1669,0.0755,768,300,496.5,735.5,478,4,58,4,0.689518354,0.694049734,0.019682382,0.013636213,5.12,3.31,299.5,239,0.043944578,0.456080671,0.456080671,2,54,2,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6676,1670,0.0755,755,300,0,0,0,342,198,5,0.692650306,0,0.617565097,0,5.033333333,0,186,0,0,0,0,243,26,4,143,95,2,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6677,1670,0.0755,755,300,0,0,0,363,177,8,0.692650306,0,0.617565097,0,5.033333333,0,186,0,0,0,0,243,28,7,109,101,0,0,34,10,0,0,6,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6678,1670,0.0755,755,300,461,693,464,10,66,4,0.692650306,0.698620738,0.016494128,0.01355535,5.033333333,3.073333333,298.5,232,0.008458253,0.258033254,0.38269489,3,59,7,2,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6679,1670,0.0755,755,300,481,718,474,6,60,5,0.692650306,0.698620738,0.016494128,0.011939619,5.033333333,3.206666667,298.5,237,-0.015821087,0.258033254,0.301677231,3,54,2,3,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6680,1671,0.0755,742,300,2,5,6,347,187,6,0.688081463,0.452583622,0.590694341,0,4.946666667,0.013333333,258,3,-1,0.382764765,0.382764765,269,26,14,145,62,0,0,16,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6681,1671,0.0755,742,300,0,0,0,385,155,5,0.688081463,0,0.590694341,0,4.946666667,0,258,0,0,0,0,269,28,19,107,97,1,0,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6682,1671,0.0755,742,300,469.5,703.5,468,9,63,5,0.688081463,0.690820069,0.013303055,0.012162375,4.946666667,3.13,297.5,234,0.010677314,0.365513564,0.395206232,5,54,3,5,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6683,1671,0.0755,742,300,480.5,716.5,472,8,60,4,0.688081463,0.690820069,0.013303055,0.017393059,4.946666667,3.203333333,297.5,236,0.028813854,0.461835052,0.447590358,5,52,3,5,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6684,1672,0.0755,750,300,0,0,0,320,220,13,0.680953775,0,0.605775947,0,5,0,254.5,0,0,0,0,212,29,21,146,68,5,8,28,3,3,1,2,3,0,0,3,2,0,0,2,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6685,1672,0.0755,750,300,1,3,4,385,151,9,0.680953775,0.419347087,0.605775947,0,5,0.006666667,254.5,2,nan,0.307679213,0.307679213,212,38,114,69,39,27,17,12,2,2,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6686,1672,0.0755,750,300,475,709,468,8,64,3,0.680953775,0.686761217,0.017350063,0.016193529,5,3.166666667,296.5,234,-0.017204783,0.520088065,0.454992752,8,56,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687,1672,0.0755,750,300,478,711,466,10,64,4,0.680953775,0.690164186,0.017350063,0.014800209,5,3.186666667,296.5,233,-0.031906377,0.265717041,0.290409629,8,55,2,7,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6688,1673,0.0755,745.5,300,0,0,0,370,170,8,0.675356177,0,0.59663621,0,4.97,0,285,0,0,0,0,151,36,165,27,18,73,32,4,0,26,4,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6689,1673,0.0755,745.5,300,0,0,0,355,185,7,0.675356177,0,0.59663621,0,4.97,0,285,0,0,0,0,151,35,108,74,46,49,48,12,1,15,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6690,1673,0.0755,745.5,300,469.5,703.5,468,11,61,4,0.675356177,0.68549492,0.018802173,0.021718559,4.97,3.13,298.5,234,-0.01714726,0.392500264,0.392500264,8,52,3,6,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6691,1673,0.0755,745.5,300,468,700,464,12,64,5,0.675356177,0.68549492,0.018802173,0.019816139,4.97,3.12,298.5,232,-0.021527091,0.36755156,0.392500264,8,52,3,8,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6692,1674,0.0755,733.5,300,0,0,0,409,131,5,0.677379453,0,0.569713077,0,4.89,0,254.5,0,0,0,0,307,21,25,90,77,2,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6693,1674,0.0755,733.5,300,0,0,0,407,133,6,0.677379453,0,0.569713077,0,4.89,0,254.5,0,0,0,0,307,23,55,90,40,13,3,7,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6694,1674,0.0755,733.5,300,446.5,677.5,462,12,66,5,0.677379453,0.679242805,0.01915192,0.019452878,4.89,2.976666667,297,231,0.01910246,0.496473692,0.37380334,7,56,4,5,1,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6695,1674,0.0755,733.5,300,484,721,474,9,57,4,0.677379453,0.679242805,0.01915192,0.013711254,4.89,3.226666667,297,237,-0.001497284,0.360701575,0.534738067,7,49,2,6,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6696,1675,0.0755,753.5,300,0,0,0,400,140,7,0.674722036,0,0.58576793,0,5.023333333,0,275.5,0,0,0,0,187,40,118,41,58,41,32,11,4,7,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6697,1675,0.0755,753.5,300,0,0,0,363,177,7,0.674722036,0,0.58576793,0,5.023333333,0,275.5,0,0,0,0,187,36,37,91,90,10,32,29,17,5,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698,1675,0.0755,753.5,300,483,716,466,10,64,4,0.674722036,0.684340918,0.014919746,0.01509093,5.023333333,3.22,298.5,233,-0.015763643,0.47845132,0.415445882,5,55,5,4,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,1675,0.0755,753.5,300,484.5,718.5,468,11,61,4,0.674722036,0.684340918,0.014919746,0.015309844,5.023333333,3.23,298.5,234,-0.053808324,0.429421708,0.415445882,5,51,6,4,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700,1676,0.0755,739.5,300,0,0,0,361,179,6,0.689640953,0,0.601188297,0,4.93,0,266.5,0,0,0,0,222,37,37,97,72,10,22,33,8,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6701,1676,0.0755,739.5,300,0,0,0,401,139,6,0.689640953,0,0.601188297,0,4.93,0,266.5,0,0,0,0,222,28,72,89,98,9,6,13,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,1676,0.0755,739.5,300,458.5,691.5,466,9,65,4,0.689640953,0.69157421,0.012052719,0.016380544,4.93,3.056666667,299,233,-0.018785356,0.460203895,0.411021201,3,57,6,2,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6703,1676,0.0755,739.5,300,473.5,710.5,474,9,57,4,0.689640953,0.69157421,0.012052719,0.015579849,4.93,3.156666667,299,237,0.001799461,0.58828467,0.56279149,3,49,6,2,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6704,1677,0.0755,802,300,0,0,0,316,224,11,0.6953624,0,0.585713968,0,5.346666667,0,229,0,0,0,0,174,33,24,98,82,12,5,48,23,2,0,23,6,0,0,6,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6705,1677,0.0755,802,300,0,0,0,387,153,7,0.6953624,0,0.585713968,0,5.346666667,0,229,0,0,0,0,174,34,106,68,90,31,13,19,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6706,1677,0.0755,802,300,505.5,740.5,470,5,65,4,0.6953624,0.695935191,0.012317581,0.013758865,5.346666667,3.37,300,235,-0.032090871,0.364216532,0.351763282,0,60,5,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6707,1677,0.0755,802,300,519.5,758.5,478,3,59,4,0.6953624,0.695935191,0.012317581,0.016409311,5.346666667,3.463333333,300,239,0.013608744,0.324599293,0.351296295,0,56,3,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6708,1678,0.0755,728.5,300,0,0,0,340,200,8,0.681247316,0,0.570763165,0,4.856666667,0,268,0,0,0,0,127,45,79,85,94,25,26,41,12,2,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6709,1678,0.0755,728.5,300,2.5,5.5,6,319,215,7,0.681247316,0.559464246,0.570763165,0.5,4.856666667,0.016666667,268,3,nan,0.486774645,0.486774645,127,42,72,96,84,27,18,44,18,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6710,1678,0.0755,728.5,300,457,689,464,9,67,4,0.681247316,0.692224522,0.017022694,0.018454091,4.856666667,3.046666667,297.5,232,-0.012526547,0.470028343,0.470028343,5,59,4,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6711,1678,0.0755,728.5,300,455,688,466,10,64,6,0.681247316,0.692224522,0.017022694,0.013573813,4.856666667,3.033333333,297.5,233,-0.045847059,0.470028343,0.334212724,5,54,4,5,0,4,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
