6,0.02,581.5,1000,0,0,0,1781,19,3,0.696280811,0,0.259083574,0,1.163,0,9.5,0,0.482918341,0,0,0,1781,0,0.69962983,0,19,0.4939595,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.02,581.5,1000,0,0,0,1781,19,3,0.696280811,0,0.259083574,0,1.163,0,9.5,0,0.482918341,0,0,0,1781,1,0.69962983,0,18,0.4939595,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.02,581.5,1000,0,0,0,1581,219,4,0.696280811,0,0.000610054,0,1.163,0,299.5,0,0.001017997,0,0,0,1504,18,0.692931792,63,199,0.69962983,14,2,0.560715599,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.02,581.5,1000,0,0,0,1668,132,4,0.696280811,0,0.000610054,0,1.163,0,299.5,0,0.001017997,0,0,0,1504,24,0.692931792,155,108,0.69962983,9,0,0.521937647,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02,623.5,1000,0,0,0,1768,32,3,0.695232466,0,0.292205043,0,1.247,0,17,0,0.555440701,0,0,0,1766,1,0.700563603,2,31,0.497663141,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02,623.5,1000,0,0,0,1766,34,3,0.695232466,0,0.292205043,0,1.247,0,17,0,0.555440701,0,0,0,1766,1,0.700563603,0,33,0.497663141,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02,623.5,1000,0,0,0,1587,213,6,0.695232466,0,0,0,1.247,0,245.5,0,0.001124413,0,0,0,1538,9,0.68990133,20,199,0.700563603,27,0,0.653853844,0,5,0.592003499,2,0,0.558050927,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02,623.5,1000,0,0,0,1675,125,4,0.695232466,0,0,0,1.247,0,245.5,0,0.001124413,0,0,0,1538,25,0.68990133,124,97,0.700563603,13,3,0.664739641,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.02,584,1000,0,0,0,1775,25,3,0.702651731,0,0.262971614,0,1.168,0,12.5,0,0.535165406,0,0,0,1775,0,0.705878093,0,25,0.512836878,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.02,584,1000,0,0,0,1777,23,3,0.702651731,0,0.262971614,0,1.168,0,12.5,0,0.535165406,0,0,0,1775,2,0.705878093,2,21,0.512836878,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
