,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp
379,95,0.07600000000000003,2117.0,500.0,1345.5,1745.5,800,1,99,4,0.6779267621259485,0.6806393206348285,0.016619391143771922,0.015467872405372394,8.468,5.382,500,400,-0.004975714380965628,0.368085391593029,0.4232201710031096,0,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,95,0.07600000000000003,2117.0,500.0,1344.5,1747.5,806,0,94,2,0.6779267621259485,0.6806393206348285,0.016619391143771922,0.018390614761582484,8.468,5.378,500,403,-0.0186918584950843,0.47079834621535477,0.47079834621535477,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,96,0.07800000000000003,2277.5,500.0,1452.5,1821.5,738,40,122,4,0.6858672919296717,0.6706641122256976,0.6120601484332291,0.6048919817451617,9.11,5.8100000000000005,487.5,369,0.6370755620362993,0.30443154461886845,0.3211713225942112,27,88,13,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,96,0.07800000000000003,2277.5,500.0,1503.5,1888.5,770,27,103,3,0.6858672919296717,0.7010704716336458,0.6120601484332291,0.6090869121541389,9.11,6.014,487.5,385,0.6202359165384855,0.3553812139210238,0.2820625460347364,27,78,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,96,0.07800000000000003,2277.5,500.0,1507,1911.0,808,0,92,2,0.6858672919296717,0.6964563992481074,0.016461154136541124,0.01847263124017636,9.11,6.0280000000000005,500,404,-0.0015003315005004526,0.45833161360139113,0.45833161360139113,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,96,0.07800000000000003,2277.5,500.0,1535.5,1945.5,820,0,80,2,0.6858672919296717,0.7010704716336458,0.016461154136541124,0.015065226101811453,9.11,6.1419999999999995,500,410,-0.012499719711023378,0.39311308560115477,0.39311308560115477,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,97,0.07800000000000003,2254.5,500.0,1399,1766.0,734,37,129,4,0.6829603816229812,0.690045699628733,0.6094327002929039,0.6101262875786035,9.018,5.596,498,367,0.6124472676737807,0.4853329258009897,0.2634510005602932,4,93,33,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,97,0.07800000000000003,2254.5,500.0,1609.5,2015.5,812,5,83,4,0.6829603816229812,0.690045699628733,0.6094327002929039,0.6170174658964138,9.018,6.438,498,406,0.5630402456658516,0.3908668989198658,0.2651217585036532,4,78,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,97,0.07800000000000003,2254.5,500.0,1439.5,1840.5,802,2,96,4,0.6829603816229812,0.690045699628733,0.016921199766865385,0.018542165135241248,9.018,5.758,500,401,-0.017917680266761413,0.43789886195408145,0.46686661340923963,0,94,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,97,0.07800000000000003,2254.5,500.0,1525,1936.0,822,0,78,2,0.6829603816229812,0.690045699628733,0.016921199766865385,0.017680609270347335,9.018,6.1,500,411,-0.0049118508261701815,0.42277017217037677,0.5081522012053588,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
