,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
274,69,0.095,3264.5,500,331.5,486.5,310,4,286,6,0.691992973,0.679981252,0.025698603,0.021316873,13.058,1.326,500,155,-0.029397182,0.408064434,0.408064434,0,282,0.704004695,3,0,0.493147243,0,3,0.410914519,1,0,0.463380672,0,1,0.440523242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,69,0.095,3264.5,500,391,564,346,3,251,4,0.691992973,0.679981252,0.025698603,0.017927192,13.058,1.564,500,173,0.03383213,0.462569308,0.455789346,0,248,0.704004695,3,0,0.529067084,0,3,0.441264262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,70,0.095,3277.5,500,1,3,4,169,427,16,0.677242756,0.476055971,0.621099662,0,13.11,0.004,500,2,nan,0.429711132,0.429711132,0,270,0.677335736,85,0,0.622960688,0,73,0.657729771,34,0,0.63288817,0,34,0.653802462,15,0,0.677149776,0,15,0.623578939,18,0,0.619786634,0,18,0.590134248,10,0,0.661052511,0,10,0.519856481,5,0,0.491694971,0,5,0.494909507,2,0,0.414373815,0,2,0.459815047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,70,0.095,3277.5,500,2.5,5.5,6,234,360,10,0.677242756,0.540825345,0.621099662,0.5,13.11,0.01,500,3,nan,0.491157109,0.491157109,0,224,0.674898292,145,0,0.677335736,0,89,0.661052511,72,0,0.625608668,0,36,0.570609646,14,0,0.643968965,0,8,0.579408564,3,0,0.517508582,0,3,0.519856481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,70,0.095,3277.5,500,345.5,506.5,322,5,273,4,0.677242756,0.677149776,0.02566541,0.03304182,13.11,1.382,500,161,0.021369785,0.516637126,0.529203595,0,270,0.677335736,5,0,0.584628626,0,3,0.583526049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,70,0.095,3277.5,500,471.5,656.5,370,3,227,4,0.677242756,0.677149776,0.02566541,0.026401661,13.11,1.886,500,185,0.01117335,0.498275359,0.56672752,0,224,0.674898292,3,0,0.677335736,0,3,0.52328465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,71,0.095,3207.5,500,166,231,130,113,357,8,0.693826056,0.695792299,0.611994379,0.62955489,12.83,0.664,500,65,0.364472166,0.473138458,0.399494577,0,278,0.701558044,51,0,0.686094068,0,47,0.679912779,54,0,0.648944225,0,24,0.678116818,8,0,0.544455197,0,8,0.505916421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,71,0.095,3207.5,500,423.5,570.5,294,27,279,6,0.693826056,0.701558044,0.611994379,0.621680115,12.83,1.694,500,147,0.628655257,0.469599348,0.396366332,0,252,0.667343586,26,0,0.686094068,0,26,0.682924014,1,0,0.660328834,0,1,0.44453885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,71,0.095,3207.5,500,299,449,300,12,288,4,0.693826056,0.695792299,0.028687399,0.017560847,12.83,1.196,500,150,-0.013139427,0.47180847,0.47541335,1,277,0.701558044,11,0,0.574162921,0,11,0.617826265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,71,0.095,3207.5,500,369,537,336,6,258,4,0.693826056,0.701558044,0.028687399,0.024508478,12.83,1.476,500,168,-0.067497339,0.472146312,0.44739625,1,252,0.667343586,5,1,0.672575443,0,5,0.622034186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
