,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp
708,178,0.11000000000000006,1541.0,300.0,1089,1329.0,480,3,57,3,0.6876665038011323,0.6855768194549005,0.6104465803654144,0.6149141053591518,10.273333333333333,7.26,298.5,240,0.6044842441758932,0.37871127227297,0.1982479095489982,3,55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,178,0.11000000000000006,1541.0,300.0,1056.5,1297.5,482,3,55,3,0.6876665038011323,0.6897561881473642,0.6104465803654144,0.6235031542238038,10.273333333333333,7.043333333333333,298.5,241,0.5653730080360257,0.34690269337205415,0.24323529381894612,3,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,178,0.11000000000000006,1541.0,300.0,1006,1248.0,484,0,56,2,0.6876665038011323,0.6883596932883375,0.03632280352945986,0.03651451179404505,10.273333333333333,6.706666666666667,300,242,-0.01866767893760008,0.5010314820486309,0.4254325113225386,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,178,0.11000000000000006,1541.0,300.0,1025,1268.0,486,0,54,2,0.6876665038011323,0.6897561881473642,0.03632280352945986,0.03891027340555295,10.273333333333333,6.833333333333333,300,243,-0.007063967552387541,0.48622993108615387,0.43111699765731126,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,179,0.11000000000000006,1557.5,300.0,1050.5,1290.5,480,0,60,2,0.6793923210427548,0.691090775883968,0.6291655058191434,0.6317185248710981,10.383333333333333,7.003333333333333,300,240,0.5974615996445962,0.37152494953223864,0.259121779428509,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,179,0.11000000000000006,1557.5,300.0,1114,1359.0,490,0,50,2,0.6793923210427548,0.691090775883968,0.6291655058191434,0.6384000899727191,10.383333333333333,7.426666666666666,300,245,0.5581166805641419,0.33409989148825187,0.28102100895323945,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,179,0.11000000000000006,1557.5,300.0,1014,1253.0,478,1,61,3,0.6793923210427548,0.691090775883968,0.03473011910976305,0.03716413177710246,10.383333333333333,6.76,300,239,-0.03927928151128466,0.27220237017341725,0.4058365500142105,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,179,0.11000000000000006,1557.5,300.0,1039,1283.0,488,1,51,3,0.6793923210427548,0.691090775883968,0.03473011910976305,0.036486292704571606,10.383333333333333,6.926666666666666,300,244,-0.03582172495521176,0.3713540568620408,0.3713540568620408,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,180,0.11000000000000006,1600.0,300.0,1144,1386.0,484,1,55,4,0.6963964211613409,0.7044946945511699,0.6211385484570471,0.6301405903433958,10.666666666666668,7.626666666666667,300,242,0.6545180474979753,0.2996023085243271,0.2772498752937238,0,54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,180,0.11000000000000006,1600.0,300.0,1129.5,1369.5,480,3,57,4,0.6963964211613409,0.7044946945511699,0.6211385484570471,0.6339121758229729,10.666666666666668,7.53,300,240,0.6151266096875188,0.31611717887690755,0.33488563346080547,0,54,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
