10,0.03,362,500,0,0,0,881,19,3,0.670852489,0,0.345412399,0,1.448,0,10.5,0,0,0,0,879,1,2,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.03,362,500,0,0,0,736,164,5,0.670852489,0,0,0,1.448,0,284.5,0,0,0,0,508,48,175,108,53,6,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.03,362,500,0,0,0,744,156,5,0.670852489,0,0,0,1.448,0,284.5,0,0,0,0,508,45,176,104,59,5,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03,347,500,0,0,0,875,25,3,0.69978197,0,0.328237829,0,1.388,0,12.5,0,0,0,0,875,2,0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03,347,500,0,0,0,877,23,3,0.69978197,0,0.328237829,0,1.388,0,12.5,0,0,0,0,875,7,2,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03,347,500,0,0,0,769,131,5,0.69978197,0,0.001948052,0,1.388,0,219.5,0,0,0,0,589,32,127,89,51,6,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03,347,500,0,0,0,733,167,5,0.69978197,0,0.001948052,0,1.388,0,219.5,0,0,0,0,589,29,87,127,57,4,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.03,338.5,500,0,0,0,878,22,3,0.682004979,0,0.333224293,0,1.354,0,11,0,0,0,0,878,1,0,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.03,338.5,500,0,0,0,878,22,3,0.682004979,0,0.333224293,0,1.354,0,11,0,0,0,0,878,1,0,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.03,338.5,500,0,0,0,780,120,5,0.682004979,0,0.004380359,0,1.354,0,227,0,0,0,0,606,30,151,85,23,3,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
